"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2023","318.05","313.70","322.05","313.70","1.52M","1.74%"
"28-12-2023","312.60","312.10","317.50","311.00","1.64M","0.21%"
"27-12-2023","311.95","312.00","313.25","310.35","306.30K","0.08%"
"26-12-2023","311.70","311.05","312.90","310.00","311.19K","0.58%"
"22-12-2023","309.90","305.05","312.00","305.05","480.18K","1.11%"
"21-12-2023","306.50","304.00","307.55","302.70","472.20K","-0.13%"
"20-12-2023","306.90","312.10","314.00","305.75","681.20K","-1.62%"
"19-12-2023","311.95","314.20","314.90","310.50","541.55K","-1.06%"
"18-12-2023","315.30","316.00","316.35","311.05","401.87K","-0.33%"
"15-12-2023","316.35","320.00","320.00","314.50","778.34K","-0.86%"
"14-12-2023","319.10","325.10","325.10","318.00","846.43K","-1.97%"
"13-12-2023","325.50","324.90","326.00","323.60","879.87K","0.18%"
"12-12-2023","324.90","325.25","326.75","324.20","453.21K","-0.14%"
"11-12-2023","325.35","324.00","326.80","323.55","565.52K","0.84%"
"08-12-2023","322.65","324.15","325.90","320.20","676.46K","-0.46%"
"07-12-2023","324.15","327.00","327.60","323.00","861.93K","-0.46%"
"06-12-2023","325.65","329.45","332.00","325.00","2.93M","0.20%"
"05-12-2023","325.00","320.95","327.00","320.00","1.83M","2.23%"
"04-12-2023","317.90","318.90","319.00","313.00","2.21M","5.91%"
"01-12-2023","300.15","300.95","302.00","297.85","395.24K","0.30%"
"30-11-2023","299.25","300.05","300.85","297.50","382.85K","-0.17%"
"29-11-2023","299.75","302.55","303.00","299.50","636.25K","-0.35%"
"28-11-2023","300.80","302.75","302.75","300.00","197.87K","-0.07%"
"24-11-2023","301.00","303.90","303.90","299.90","132.41K","-0.12%"
"23-11-2023","301.35","299.55","302.50","299.55","115.56K","0.60%"
"22-11-2023","299.55","303.85","304.00","298.25","290.07K","-1.42%"
"21-11-2023","303.85","307.00","307.30","303.30","142.12K","-0.41%"
"20-11-2023","305.10","307.60","308.95","305.00","119.97K","-0.81%"
"17-11-2023","307.60","300.30","308.70","300.10","334.15K","1.33%"
"16-11-2023","303.55","305.90","305.90","301.35","300.97K","-0.25%"
"15-11-2023","304.30","304.95","306.60","302.55","306.70K","1.01%"
"13-11-2023","301.25","303.95","304.60","300.15","247.76K","-0.89%"
"12-11-2023","303.95","305.00","305.70","303.55","112.44K","0.71%"
"10-11-2023","301.80","296.60","305.90","295.35","331.95K","1.75%"
"09-11-2023","296.60","297.00","298.00","295.00","186.23K","-0.13%"
"08-11-2023","297.00","293.80","297.50","293.80","197.82K","1.45%"
