Date,Price
01-01-2020,210.1
02-01-2020,214.15
03-01-2020,215.25
04-01-2020,213.55
05-01-2020,212.7
06-01-2020,211.85
07-01-2020,213.05
08-01-2020,211
09-01-2020,213.25
10-01-2020,219.1
11-01-2020,217.45
12-01-2020,216.625
13-01-2020,215.8
14-01-2020,214.05
15-01-2020,215.35
16-01-2020,215.75
17-01-2020,216.95
18-01-2020,216.65
19-01-2020,216.5
20-01-2020,216.35
21-01-2020,212.4
22-01-2020,209.2
23-01-2020,208.65
24-01-2020,207.85
25-01-2020,204.425
26-01-2020,202.7125
27-01-2020,201
28-01-2020,198.75
29-01-2020,198.55
30-01-2020,194.7
31-01-2020,194.1
01-02-2020,191.8
02-02-2020,190.6
03-02-2020,189.4
04-02-2020,192.95
05-02-2020,190.75
06-02-2020,192.75
07-02-2020,195.05
08-02-2020,194.4
09-02-2020,194.075
10-02-2020,193.75
11-02-2020,194.8
12-02-2020,192.25
13-02-2020,190.75
14-02-2020,190.65
15-02-2020,189.9
16-02-2020,189.525
17-02-2020,189.15
18-02-2020,185.55
19-02-2020,184.8
20-02-2020,182.35
21-02-2020,181.25
22-02-2020,180.7
23-02-2020,180.425
24-02-2020,180.15
25-02-2020,177.6
26-02-2020,172.8
27-02-2020,182.4
28-02-2020,172.25
29-02-2020,169.975
01-03-2020,168.8375
02-03-2020,167.7
03-03-2020,172.9
04-03-2020,169.45
05-03-2020,169.35
06-03-2020,163.8
07-03-2020,161.55
08-03-2020,160.425
09-03-2020,159.3
10-03-2020,159.65
11-03-2020,160
12-03-2020,145.05
13-03-2020,141.15
14-03-2020,139.7
15-03-2020,138.975
16-03-2020,138.25
17-03-2020,134.1
18-03-2020,135.75
19-03-2020,127.25
20-03-2020,136.25
21-03-2020,130.9
22-03-2020,128.225
23-03-2020,125.55
24-03-2020,126.2
25-03-2020,137.95
26-03-2020,139.25
27-03-2020,143.95
28-03-2020,144.65
29-03-2020,145
30-03-2020,145.35
31-03-2020,155.4
01-04-2020,160.45
02-04-2020,161
03-04-2020,161.55
04-04-2020,163.025
05-04-2020,163.7625
06-04-2020,164.13125
07-04-2020,164.5
08-04-2020,165.95
09-04-2020,165.5
10-04-2020,165.35
11-04-2020,165.275
12-04-2020,165.2375
13-04-2020,165.2
14-04-2020,167.8
15-04-2020,170.4
16-04-2020,174.1
17-04-2020,174.5
18-04-2020,174.35
19-04-2020,174.275
20-04-2020,174.2
21-04-2020,167.95
22-04-2020,166.7
23-04-2020,171.45
24-04-2020,171.2
25-04-2020,168.275
26-04-2020,166.8125
27-04-2020,165.35
28-04-2020,165.05
29-04-2020,171.35
30-04-2020,174.6
01-05-2020,170.175
02-05-2020,167.9625
03-05-2020,166.85625
04-05-2020,165.75
05-05-2020,167.4
06-05-2020,169.45
07-05-2020,176.35
08-05-2020,175.3
09-05-2020,178.575
10-05-2020,180.2125
