"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2023","14.5025","15.1400","15.4275","14.3725","","-4.21%"
"28-12-2023","15.1400","15.5575","16.4700","14.9625","","-2.68%"
"27-12-2023","15.5575","14.6775","15.7325","14.4700","","6.00%"
"26-12-2023","14.6775","13.7075","14.9500","13.7075","","7.08%"
"22-12-2023","13.7075","13.7575","13.9875","12.2250","","-0.36%"
"21-12-2023","13.7575","14.4500","15.0100","12.2825","","-4.79%"
"20-12-2023","14.4500","13.8675","14.8700","12.7775","","4.20%"
"19-12-2023","13.8675","13.9000","14.1200","13.5525","","-0.23%"
"18-12-2023","13.9000","13.1275","14.1175","13.1250","","5.88%"
"15-12-2023","13.1275","12.3200","13.3425","10.8000","","6.55%"
"14-12-2023","12.3200","12.0650","12.5125","11.0000","","2.11%"
"13-12-2023","12.0650","12.7125","12.8175","11.5400","","-5.09%"
"12-12-2023","12.7125","12.7575","12.8675","11.6925","","-0.35%"
"11-12-2023","12.7575","12.4700","13.1225","12.2275","","2.31%"
"08-12-2023","12.4700","12.6725","12.8750","12.1350","","-1.60%"
"07-12-2023","12.6725","13.7400","13.7400","12.5450","","-7.77%"
"06-12-2023","13.7400","13.4575","14.0875","12.6875","","2.10%"
"05-12-2023","13.4575","12.9925","13.8825","11.4750","","3.58%"
"04-12-2023","12.9925","12.3825","13.1600","11.3400","","4.93%"
"01-12-2023","12.3825","12.6900","12.7550","11.7775","","-2.42%"
"30-11-2023","12.6900","12.7075","13.3525","11.7625","","-0.14%"
"29-11-2023","12.7075","12.1750","14.4600","11.3325","","4.37%"
"28-11-2023","12.1750","11.3300","12.4925","11.0650","","7.46%"
"24-11-2023","11.3300","11.3150","11.4650","8.6775","","0.13%"
"23-11-2023","11.3150","11.8650","12.1400","10.9750","","-4.64%"
"22-11-2023","11.8650","12.2325","12.7075","11.0225","","-3.00%"
"21-11-2023","12.2325","12.1475","12.4350","10.7550","","0.70%"
"20-11-2023","12.1475","11.8275","12.6700","11.2000","","2.71%"
"17-11-2023","11.8275","11.6475","12.0900","10.1900","","1.55%"
"16-11-2023","11.6475","11.1350","11.8075","10.6175","","4.60%"
"15-11-2023","11.1350","11.1875","11.4175","8.3950","","-0.47%"
"13-11-2023","11.1875","11.3475","11.6325","10.5025","","-1.41%"
"12-11-2023","11.3475","9.7525","11.5400","9.7525","","2.16%"
"10-11-2023","11.1075","10.9825","11.3575","9.8600","","1.14%"
