Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
01-04-2024,518.45,533.0,537.85,515.2,2.55M,-1.98%,-156.29999999999984,601.5325,590.675
28-03-2024,528.9,524.95,533.5,521.6,4.21M,2.37%,-145.8499999999999,596.5,582.615
27-03-2024,516.65,513.3,527.0,513.3,3.17M,0.67%,-158.0999999999999,592.1675,572.635
26-03-2024,513.2,520.95,528.7,509.45,2.41M,-0.44%,-173.5999999999999,587.7825,562.35
22-03-2024,515.45,504.8,517.5,500.05,2.68M,2.16%,-158.19999999999987,583.3199999999999,552.585
21-03-2024,504.55,494.5,507.0,492.8,2.46M,3.15%,-169.0999999999999,578.5274999999999,540.2900000000001
20-03-2024,489.15,482.0,494.9,478.65,1.67M,1.32%,-184.49999999999994,572.1674999999999,529.295
19-03-2024,482.8,487.95,495.9,475.0,1.85M,-2.54%,-197.5999999999999,565.735,519.2700000000001
18-03-2024,495.4,500.0,502.15,481.0,2.66M,-0.50%,-183.19999999999993,559.17,510.675
15-03-2024,497.9,481.0,499.5,472.55,5.94M,4.41%,-157.84999999999997,552.64,506.24500000000006
14-03-2024,476.85,460.0,481.85,452.2,3.20M,3.43%,-178.89999999999992,546.38,502.0849999999999
13-03-2024,461.05,507.8,507.8,460.0,5.55M,-9.47%,-225.64999999999992,538.9575,495.3
12-03-2024,509.3,509.0,513.95,491.15,3.64M,0.06%,-177.39999999999992,533.6,494.56500000000005
11-03-2024,509.0,516.0,516.8,501.55,1.65M,-1.21%,-185.19999999999987,528.2475000000001,494.1450000000001
07-03-2024,515.25,514.0,527.0,510.75,1.55M,0.62%,-178.94999999999987,523.355,494.125
06-03-2024,512.05,512.7,516.4,494.25,3.36M,0.50%,-183.2999999999999,517.5825,494.875
05-03-2024,509.5,517.0,519.8,507.1,1.27M,-1.43%,-193.59999999999985,513.1025,496.91
04-03-2024,516.9,506.8,520.7,506.0,7.04M,2.36%,-182.69999999999987,509.79499999999996,500.32
02-03-2024,505.0,506.8,508.0,503.15,139.89K,0.27%,-194.59999999999985,505.97749999999996,501.28000000000003
01-03-2024,503.65,508.3,514.8,501.25,4.23M,-0.91%,-205.74999999999983,504.05,501.8549999999999
29-02-2024,508.3,507.0,511.8,490.2,6.05M,0.14%,-187.6499999999998,503.5425,505.0
28-02-2024,507.6,522.5,523.5,503.0,3.25M,-2.73%,-203.54999999999978,502.4775000000001,509.65500000000003
27-02-2024,521.85,525.45,532.5,500.85,5.94M,-0.35%,-182.54999999999978,502.7375,510.90999999999997
26-02-2024,523.7,511.5,537.95,510.25,14.22M,3.32%,-169.09999999999974,503.2625,512.3799999999999
23-02-2024,506.85,489.75,510.75,486.1,5.30M,3.86%,-185.94999999999976,502.8325,511.53999999999996
22-02-2024,488.0,485.9,496.6,482.8,2.11M,0.69%,-204.79999999999978,502.005,509.13500000000005
21-02-2024,484.65,490.6,494.0,480.6,1.55M,-1.21%,-214.1499999999998,501.78000000000003,506.65
20-02-2024,490.6,497.75,498.0,486.5,2.42M,-1.73%,-208.19999999999976,502.16999999999996,504.02
19-02-2024,499.25,484.1,501.9,480.5,4.57M,3.91%,-189.44999999999976,502.3625,503.445
