Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
29-12-2023,409.05,408.55,415,407.4,2.23M,0.25%,-289.2,457.60749999999996,430.535
28-12-2023,408.05,413.45,413.6,406.5,1.23M,-0.68%,-294.75,453.62750000000005,423.27
27-12-2023,410.85,417.65,420.5,408.8,1.94M,-1.04%,-291.95,449.73,417.875
26-12-2023,415.15,420,423.2,413.1,3.73M,1.43%,-287.65,446.2425,413.90500000000003
22-12-2023,409.3,420,423.2,407.55,2.21M,-1.93%,-301.55,441.175,412.89
21-12-2023,417.35,405.95,422.55,397.65,3.25M,3.04%,-281.85,436.9725,412.63
20-12-2023,405.05,434,440.65,400.5,3.84M,-6.10%,-317.45,433.2875,410.505
19-12-2023,431.35,435.55,442.75,428.8,2.58M,-1.06%,-291.15,431.25,412.515
18-12-2023,435.95,414.55,445.45,414.55,6.66M,0.28%,-269.75,429.76750000000004,415.21500000000003
15-12-2023,434.75,453,454.85,432,3.49M,-3.60%,-289.85,427.8325,417.68500000000006
14-12-2023,451,457.9,460.25,450.05,1.85M,-0.99%,-273.6,426.2075,421.88
13-12-2023,455.5,446.7,458,444.1,2.50M,2.37%,-262.2,424.94750000000005,426.625
12-12-2023,444.95,455.9,457.95,442,1.77M,-2.37%,-275.2,423.95500000000004,430.035
11-12-2023,455.75,454,465.55,450.4,3.17M,0.87%,-264.4,424,434.09499999999997
08-12-2023,451.8,460,477,446.65,8.57M,-1.42%,-289.6,425.6175,438.34499999999997
07-12-2023,458.3,439.95,461,431.5,9.61M,4.40%,-262.8,427.535,442.43999999999994
06-12-2023,439,420,442.95,416.5,8.18M,5.73%,-282.1,428.16999999999996,445.8349999999999
05-12-2023,415.2,424.5,425.45,413,4.65M,-2.19%,-305.9,428.3675,444.21999999999997
04-12-2023,424.5,434,434.8,422.7,3.46M,-0.02%,-296.6,429.145,443.075
01-12-2023,424.6,411,428.3,410.75,7.11M,3.98%,-282.75,429.87250000000006,442.06000000000006
30-11-2023,408.35,416.35,416.55,407,3.28M,-1.57%,-299,429.8375,437.79499999999996
29-11-2023,414.85,412,422.15,410.45,3.10M,1.32%,-292.5,430.17749999999995,433.73
