Date,Price
01-01-2020,152.2
02-01-2020,153.05
03-01-2020,155.95
04-01-2020,154.9
05-01-2020,154.375
06-01-2020,153.85
07-01-2020,154.45
08-01-2020,154.9
09-01-2020,156.4
10-01-2020,157.9
11-01-2020,158.025
12-01-2020,158.0875
13-01-2020,158.15
14-01-2020,157.8
15-01-2020,158.3
16-01-2020,155.2
17-01-2020,156.8
18-01-2020,153.175
19-01-2020,151.3625
20-01-2020,149.55
21-01-2020,145.9
22-01-2020,137.65
23-01-2020,138.45
24-01-2020,142.15
25-01-2020,141.725
26-01-2020,141.5125
27-01-2020,141.3
28-01-2020,138.05
29-01-2020,139.8
30-01-2020,138.1
31-01-2020,129.55
01-02-2020,124.15
02-02-2020,123.6
03-02-2020,123.05
04-02-2020,129
05-02-2020,129.25
06-02-2020,135.1
07-02-2020,138.5
08-02-2020,136.225
09-02-2020,135.0875
10-02-2020,133.95
11-02-2020,134.25
12-02-2020,136.05
13-02-2020,134.1
14-02-2020,130.25
15-02-2020,130.075
16-02-2020,129.9875
17-02-2020,129.9
18-02-2020,131.75
19-02-2020,138.45
20-02-2020,125.15
21-02-2020,122.8
22-02-2020,121.625
23-02-2020,121.0375
24-02-2020,120.45
25-02-2020,117.7
26-02-2020,113.45
27-02-2020,112.35
28-02-2020,108
29-02-2020,104.85
01-03-2020,103.275
02-03-2020,101.7
03-03-2020,106.9
04-03-2020,110.45
05-03-2020,105.65
06-03-2020,102
07-03-2020,96.625
08-03-2020,93.9375
09-03-2020,91.25
10-03-2020,88.075
11-03-2020,84.9
12-03-2020,74.7
13-03-2020,81.2
14-03-2020,75.775
15-03-2020,73.0625
16-03-2020,70.35
17-03-2020,71.55
18-03-2020,83.25
19-03-2020,76.5
20-03-2020,81.55
21-03-2020,77.45
22-03-2020,75.4
23-03-2020,73.35
24-03-2020,74.25
25-03-2020,76.45
26-03-2020,76.55
27-03-2020,77.6
28-03-2020,78.525
29-03-2020,78.9875
30-03-2020,79.45
31-03-2020,82.65
01-04-2020,79.25
02-04-2020,81.75
03-04-2020,84.25
04-04-2020,86.825
05-04-2020,88.1125
06-04-2020,88.75625
07-04-2020,89.4
08-04-2020,89.2
09-04-2020,91.1
10-04-2020,90.2
11-04-2020,89.75
12-04-2020,89.525
13-04-2020,89.3
14-04-2020,89
15-04-2020,88.7
16-04-2020,90.15
17-04-2020,92.75
18-04-2020,91.65
19-04-2020,91.1
20-04-2020,90.55
21-04-2020,86
22-04-2020,86
23-04-2020,86.05
24-04-2020,83.85
25-04-2020,85.025
26-04-2020,85.6125
27-04-2020,86.2
28-04-2020,88.35
29-04-2020,91.75
30-04-2020,98.8
01-05-2020,96.4
02-05-2020,95.2
03-05-2020,94.6
04-05-2020,94
05-05-2020,93.1
06-05-2020,92.55
07-05-2020,90.9
08-05-2020,88.55
09-05-2020,88.175
10-05-2020,87.9875
11-05-2020,87.8
12-05-2020,85.05
13-05-2020,85.45
14-05-2020,84
15-05-2020,85.9
16-05-2020,82.325
17-05-2020,80.5375
18-05-2020,78.75
19-05-2020,83.2
20-05-2020,83.6
21-05-2020,84.2
22-05-2020,84.4
23-05-2020,83.75
24-05-2020,83.425
25-05-2020,83.2625
26-05-2020,83.1
27-05-2020,82.75
28-05-2020,83.6
29-05-2020,84.75
30-05-2020,85.975
31-05-2020,86.5875
01-06-2020,87.2
02-06-2020,87.25
03-06-2020,89.7
04-06-2020,89.45
05-06-2020,91.25
06-06-2020,93.1
07-06-2020,94.025
08-06-2020,94.95
09-06-2020,95.3
10-06-2020,94
11-06-2020,93.95
12-06-2020,91.15
13-06-2020,94.2
14-06-2020,95.725
15-06-2020,97.25
16-06-2020,101.25
17-06-2020,96.9
18-06-2020,100
19-06-2020,105.25
20-06-2020,103.95
21-06-2020,103.3
22-06-2020,102.65
23-06-2020,101.7
24-06-2020,100.55
25-06-2020,90.9
26-06-2020,94.45
27-06-2020,95.05
28-06-2020,95.35
29-06-2020,95.65
30-06-2020,93.65
01-07-2020,94.8
