"Date","Price","Open","High","Low","Vol.","Change %"
"28-03-2024","600.25","603.95","611.00","592.20","3.45M","0.24%"
"27-03-2024","598.80","611.95","629.80","592.05","5.89M","-2.07%"
"26-03-2024","611.45","584.40","615.70","578.75","5.55M","5.11%"
"22-03-2024","581.75","592.15","595.95","578.75","3.23M","-1.56%"
"21-03-2024","590.95","568.95","596.60","568.50","3.97M","4.56%"
"20-03-2024","565.20","555.00","570.00","544.80","3.56M","3.57%"
"19-03-2024","545.70","545.00","559.15","533.35","5.50M","0.09%"
"18-03-2024","545.20","548.50","554.05","534.30","2.80M","-1.88%"
"15-03-2024","555.65","579.50","588.70","513.00","17.28M","-3.05%"
"14-03-2024","573.15","573.80","590.50","562.00","4.07M","-0.11%"
"13-03-2024","573.80","618.65","619.35","563.15","5.64M","-6.35%"
"12-03-2024","612.70","621.50","627.25","603.00","4.74M","-0.43%"
"11-03-2024","615.35","632.90","643.00","610.50","4.97M","-2.34%"
"07-03-2024","630.10","636.00","643.55","627.35","4.09M","-0.59%"
"06-03-2024","633.85","634.00","647.00","618.00","6.50M","0.37%"
"05-03-2024","631.50","628.90","638.70","618.00","6.40M","1.06%"
"04-03-2024","624.90","594.00","639.20","593.90","16.52M","5.42%"
"02-03-2024","592.75","595.10","598.70","586.35","439.13K","0.61%"
"01-03-2024","589.15","554.35","593.90","552.90","10.76M","7.79%"
"29-02-2024","546.55","571.00","571.20","544.00","5.12M","-3.63%"
"28-02-2024","567.15","579.70","586.00","561.20","4.30M","-1.24%"
"27-02-2024","574.30","573.95","583.80","562.60","6.08M","0.75%"
"26-02-2024","570.00","587.35","593.95","563.30","4.18M","-3.65%"
"23-02-2024","591.60","604.00","604.30","587.00","4.02M","-1.15%"
"22-02-2024","598.50","592.00","609.70","572.85","9.48M","2.27%"
"21-02-2024","585.20","608.90","624.00","578.20","8.67M","-3.22%"
"20-02-2024","604.70","596.85","630.00","574.00","13.00M","1.77%"
"19-02-2024","594.20","576.00","610.00","574.20","9.98M","3.58%"
"16-02-2024","573.65","567.85","617.00","556.00","19.64M","1.86%"
"15-02-2024","563.15","506.85","575.40","503.00","28.02M","12.91%"
"14-02-2024","498.75","470.00","504.85","458.60","11.25M","6.15%"
"13-02-2024","469.85","469.00","476.35","443.55","5.80M","0.20%"
"12-02-2024","468.90","519.80","519.80","456.50","5.79M","-9.15%"
"09-02-2024","516.15","518.05","524.40","502.05","6.25M","0.58%"
"08-02-2024","513.15","489.60","520.00","483.75","9.48M","5.24%"
"07-02-2024","487.60","484.80","496.70","473.00","6.64M","1.37%"
"06-02-2024","481.00","462.00","516.40","446.00","16.94M","4.68%"
"05-02-2024","459.50","446.45","464.20","440.05","6.31M","2.82%"
"02-02-2024","446.90","437.00","449.80","433.15","6.15M","2.42%"
"01-02-2024","436.35","427.90","439.00","423.05","3.07M","2.31%"
"31-01-2024","426.50","433.85","433.85","418.55","3.51M","-0.61%"
"30-01-2024","429.10","418.20","443.35","416.45","9.62M","3.75%"
"29-01-2024","413.60","408.00","421.00","404.30","3.95M","2.60%"
"25-01-2024","403.10","406.00","407.05","400.10","1.03M","0.35%"
"24-01-2024","401.70","398.40","406.50","393.50","2.06M","1.38%"
"23-01-2024","396.25","422.05","422.20","392.00","4.39M","-5.70%"
"20-01-2024","420.20","416.40","430.80","413.40","4.63M","1.92%"
"19-01-2024","412.30","400.75","419.80","398.05","9.49M","4.26%"
"18-01-2024","395.45","378.40","406.80","376.50","9.11M","3.70%"
"17-01-2024","381.35","385.00","385.00","379.00","2.45M","-2.05%"
"16-01-2024","389.35","400.95","402.80","385.60","5.02M","-1.80%"
"15-01-2024","396.50","378.00","398.20","377.40","8.59M","5.73%"
"12-01-2024","375.00","372.20","376.65","369.25","4.96M","0.33%"
"11-01-2024","373.75","367.00","375.65","362.40","4.92M","2.45%"
"10-01-2024","364.80","376.00","376.00","363.30","2.91M","-2.50%"
"09-01-2024","374.15","378.00","381.45","373.50","1.81M","0.00%"
"08-01-2024","374.15","379.95","381.95","372.80","1.91M","-1.64%"
"05-01-2024","380.40","384.90","386.55","376.75","2.14M","-0.61%"
"04-01-2024","382.75","389.40","389.40","381.50","1.89M","-0.76%"
"03-01-2024","385.70","383.60","391.85","377.30","3.14M","0.63%"
"02-01-2024","383.30","376.00","389.00","374.25","4.47M","1.20%"
"01-01-2024","378.75","373.50","382.60","371.35","2.44M","1.77%"
"29-12-2023","372.15","383.00","383.10","370.00","4.49M","-2.76%"
"28-12-2023","382.70","384.50","389.05","374.30","5.35M","0.10%"
"27-12-2023","382.30","386.10","391.00","378.00","4.99M","0.16%"
"26-12-2023","381.70","376.90","393.90","369.65","8.48M","2.26%"
"22-12-2023","373.25","383.50","383.90","365.10","7.14M","-0.82%"
"21-12-2023","376.35","363.00","389.60","363.00","25.03M","4.37%"
"20-12-2023","360.60","350.00","406.40","344.75","41.44M","5.62%"
"19-12-2023","341.40","329.00","347.10","326.00","8.53M","6.02%"
"18-12-2023","322.00","322.95","328.00","319.70","1.53M","-0.42%"
"15-12-2023","323.35","325.05","330.50","319.75","2.81M","-0.32%"
"14-12-2023","324.40","314.25","327.95","312.35","6.37M","4.59%"
"13-12-2023","310.15","312.00","315.95","308.70","1.62M","-0.82%"
"12-12-2023","312.70","319.75","321.00","311.90","1.64M","-1.90%"
"11-12-2023","318.75","322.00","323.80","316.55","1.14M","-0.36%"
"08-12-2023","319.90","318.70","324.80","315.90","2.23M","1.06%"
"07-12-2023","316.55","322.00","324.00","314.70","2.83M","-1.05%"
"06-12-2023","319.90","326.10","330.75","318.05","3.76M","-1.37%"
"05-12-2023","324.35","332.20","334.80","322.60","5.05M","-1.17%"
"04-12-2023","328.20","315.50","335.50","308.60","13.26M","5.91%"
"01-12-2023","309.90","308.00","314.50","305.50","2.19M","1.54%"
"30-11-2023","305.20","312.00","313.40","298.90","9.61M","-1.74%"
"29-11-2023","310.60","299.00","311.95","297.75","2.26M","3.90%"
"28-11-2023","298.95","300.90","303.85","293.20","1.90M","0.02%"
"24-11-2023","298.90","299.25","302.10","295.25","1.48M","-0.12%"
"23-11-2023","299.25","302.95","304.30","297.35","1.81M","-1.45%"
"22-11-2023","303.65","306.25","308.25","302.55","1.11M","-1.25%"
"21-11-2023","307.50","316.95","317.10","307.15","1.27M","-2.07%"
"20-11-2023","314.00","317.90","328.30","313.50","1.06M","-0.40%"
"17-11-2023","315.25","320.00","325.15","314.10","1.21M","-2.34%"
"16-11-2023","322.80","313.65","323.95","313.15","1.91M","2.92%"
"15-11-2023","313.65","319.80","324.00","312.00","2.28M","-0.19%"
"13-11-2023","314.25","308.00","315.45","306.30","1.14M","1.88%"
"12-11-2023","308.45","307.95","311.40","307.00","188.87K","0.88%"
"10-11-2023","305.75","302.20","307.00","300.80","920.57K","1.14%"
"09-11-2023","302.30","306.45","308.85","297.30","4.93M","-2.67%"
"08-11-2023","310.60","312.40","317.50","309.00","2.05M","-0.34%"
"07-11-2023","311.65","310.85","317.60","309.30","1.44M","0.11%"
"06-11-2023","311.30","305.00","315.70","303.35","3.35M","2.60%"
"03-11-2023","303.40","303.95","308.30","301.00","1.74M","1.03%"
"02-11-2023","300.30","305.45","307.50","297.45","957.06K","-0.46%"
"01-11-2023","301.70","299.00","307.50","298.85","1.25M","0.95%"
"31-10-2023","298.85","306.90","307.00","296.65","830.84K","-1.63%"
"30-10-2023","303.80","305.00","308.50","303.00","899.41K","0.63%"
"27-10-2023","301.90","302.85","306.00","300.05","1.33M","0.42%"
"26-10-2023","300.65","301.00","304.45","294.55","1.04M","-0.27%"
"25-10-2023","301.45","308.80","314.80","300.00","1.65M","-1.94%"
"23-10-2023","307.40","322.55","323.00","304.00","1.76M","-4.70%"
"20-10-2023","322.55","326.35","331.60","320.60","2.06M","-0.48%"
"19-10-2023","324.10","328.00","329.20","321.70","2.49M","-1.29%"
"18-10-2023","328.35","335.00","339.40","324.35","5.11M","-0.98%"
"17-10-2023","331.60","322.95","334.70","318.35","5.03M","3.67%"
"16-10-2023","319.85","319.80","324.80","318.50","3.09M","1.48%"
"13-10-2023","315.20","313.40","319.15","312.25","2.42M","0.75%"
"12-10-2023","312.85","314.25","321.80","311.05","2.95M","0.32%"
"11-10-2023","311.85","321.00","322.00","309.40","3.06M","-2.38%"
"10-10-2023","319.45","318.00","322.70","314.00","5.43M","2.63%"
"09-10-2023","311.25","298.80","318.40","297.60","17.11M","5.24%"
"06-10-2023","295.75","296.00","297.10","290.80","1.28M","0.27%"
"05-10-2023","294.95","291.35","296.00","290.50","1.50M","0.32%"
"04-10-2023","294.00","294.45","295.60","290.05","1.40M","-0.02%"
"03-10-2023","294.05","295.00","295.00","289.40","1.97M","-1.61%"
"29-09-2023","298.85","296.00","300.00","290.00","2.25M","2.26%"
"28-09-2023","292.25","288.80","305.45","288.75","9.57M","1.65%"
"27-09-2023","287.50","277.00","288.25","276.60","2.82M","4.11%"
"26-09-2023","276.15","278.10","279.90","276.00","498.36K","-0.70%"
"25-09-2023","278.10","280.00","281.95","276.05","720.29K","0.13%"
"22-09-2023","277.75","276.45","280.70","273.40","1.02M","0.62%"
"21-09-2023","276.05","280.65","281.35","275.20","853.38K","-1.73%"
"20-09-2023","280.90","284.80","287.80","279.50","1.44M","-1.73%"
"18-09-2023","285.85","285.50","290.45","283.00","2.02M","0.51%"
"15-09-2023","284.40","285.00","294.65","282.60","5.97M","2.28%"
"14-09-2023","278.05","275.55","284.60","275.50","2.95M","1.55%"
"13-09-2023","273.80","275.05","278.60","271.80","2.00M","0.50%"
"12-09-2023","272.45","283.70","286.80","270.50","2.01M","-3.16%"
"11-09-2023","281.35","284.00","289.80","280.50","2.25M","0.00%"
"08-09-2023","281.35","281.85","284.40","280.80","1.16M","-0.16%"
"07-09-2023","281.80","284.00","286.20","278.65","793.86K","-0.27%"
"06-09-2023","282.55","284.85","286.55","280.80","1.09M","0.69%"
"05-09-2023","280.60","283.00","288.40","279.30","3.18M","0.95%"
"04-09-2023","277.95","275.80","283.00","275.10","1.48M","1.79%"
"01-09-2023","273.05","273.10","284.55","272.20","1.98M","-0.02%"
"31-08-2023","273.10","276.30","277.70","272.30","863.70K","-1.01%"
"30-08-2023","275.90","279.95","280.55","275.10","992.81K","-0.54%"
"29-08-2023","277.40","277.30","281.40","276.00","1.33M","0.56%"
"28-08-2023","275.85","280.00","281.95","275.50","727.18K","-2.42%"
"25-08-2023","282.70","284.00","287.40","281.55","451.19K","-2.32%"
"24-08-2023","289.40","293.60","294.45","287.60","746.40K","-0.53%"
"23-08-2023","290.95","294.45","296.95","289.35","1.02M","-0.12%"
"22-08-2023","291.30","292.50","293.30","290.00","511.62K","0.10%"
"21-08-2023","291.00","289.50","293.00","288.25","932.63K","0.92%"
"18-08-2023","288.35","288.55","290.60","284.25","494.96K","-0.07%"
"17-08-2023","288.55","287.00","291.55","284.10","1.20M","0.94%"
"16-08-2023","285.85","278.00","287.00","273.75","1.48M","2.33%"
"14-08-2023","279.35","280.00","280.00","275.10","506.09K","0.38%"
"11-08-2023","278.30","278.00","279.65","277.50","605.11K","0.13%"
"10-08-2023","277.95","279.95","279.95","275.10","1.18M","0.51%"
"09-08-2023","276.55","270.00","279.40","261.55","2.28M","1.06%"
"08-08-2023","273.65","273.20","275.00","270.45","549.21K","0.33%"
"07-08-2023","272.75","277.00","277.10","271.10","557.49K","-0.35%"
