Date,Price
01-01-2020,11.5975
02-01-2020,11.49
03-01-2020,12.695
04-01-2020,13.73625
05-01-2020,14.256875
06-01-2020,14.7775
07-01-2020,14.61
08-01-2020,15.64
09-01-2020,13.9975
10-01-2020,14.0775
11-01-2020,14.17625
12-01-2020,14.225625
13-01-2020,14.275
14-01-2020,13.9125
15-01-2020,14.12
16-01-2020,14.1825
17-01-2020,14.1275
18-01-2020,14.76875
19-01-2020,15.089375
20-01-2020,15.41
21-01-2020,15.8625
22-01-2020,16.36
23-01-2020,15.855
24-01-2020,15.56
25-01-2020,16.3675
26-01-2020,16.77125
27-01-2020,17.175
28-01-2020,17.2975
29-01-2020,16.4975
30-01-2020,16.7975
31-01-2020,17.3675
01-02-2020,16.835
02-02-2020,16.30875
03-02-2020,15.7825
04-02-2020,14.38
05-02-2020,14.1725
06-02-2020,13.78
07-02-2020,13.7475
08-02-2020,13.97875
09-02-2020,14.094375
10-02-2020,14.21
11-02-2020,13.88
12-02-2020,13.6225
13-02-2020,13.37
14-02-2020,13.615
15-02-2020,14.015
16-02-2020,14.215
17-02-2020,14.415
18-02-2020,14.51
19-02-2020,14.0225
20-02-2020,13.7
21-02-2020,15.34875
22-02-2020,16.173125
23-02-2020,16.5853125
24-02-2020,16.9975
25-02-2020,16.8975
26-02-2020,18.26
27-02-2020,17.765
28-02-2020,23.235
29-02-2020,24.21875
01-03-2020,24.710625
02-03-2020,25.2025
03-03-2020,24.5425
04-03-2020,24.225
05-03-2020,23.2475
06-03-2020,25.6425
07-03-2020,28.22125
08-03-2020,29.510625
09-03-2020,30.8
10-03-2020,31.1775
11-03-2020,31.555
12-03-2020,41.1625
13-03-2020,51.4725
14-03-2020,55.17375
15-03-2020,57.024375
16-03-2020,58.875
17-03-2020,62.925
18-03-2020,63.955
19-03-2020,72.1975
20-03-2020,67.1
21-03-2020,69.5425
22-03-2020,70.76375
23-03-2020,71.985
24-03-2020,83.6075
25-03-2020,77.625
26-03-2020,71.5325
27-03-2020,70.385
28-03-2020,71.1375
29-03-2020,71.51375
30-03-2020,71.89
31-03-2020,64.4075
01-04-2020,60.0525
02-04-2020,57.6775
03-04-2020,55.3025
04-04-2020,53.55125
05-04-2020,52.675625
06-04-2020,52.2378125
07-04-2020,51.8
08-04-2020,52.2425
09-04-2020,49.745
10-04-2020,50.60125
11-04-2020,51.029375
12-04-2020,51.2434375
13-04-2020,51.4575
14-04-2020,50.59625
15-04-2020,49.735
16-04-2020,46.095
17-04-2020,42.5925
18-04-2020,43.02375
19-04-2020,43.239375
20-04-2020,43.455
21-04-2020,45.1975
22-04-2020,42.8225
23-04-2020,39.23
24-04-2020,39.1175
25-04-2020,38.58
26-04-2020,38.31125
27-04-2020,38.0425
28-04-2020,35.355
29-04-2020,33.8375
30-04-2020,33.9875
01-05-2020,38.82875
02-05-2020,41.249375
03-05-2020,42.4596875
04-05-2020,43.67
05-05-2020,43.6075
06-05-2020,41.2475
07-05-2020,39.93
08-05-2020,38.4075
09-05-2020,38.2225
10-05-2020,38.13
11-05-2020,38.0375
12-05-2020,38.205
13-05-2020,38.835
14-05-2020,38.1825
15-05-2020,38.0175
16-05-2020,39.46625
